CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Total_Purchases,Online_Purchases,Website_Visits
1133,31,46432,100,17,79,0,19
1134,20,103285,88,25,34,10,31
1135,18,111792,52,24,36,2,19
1136,22,77854,56,4,6,51,49
1137,43,60262,15,12,39,22,46
1138,31,57080,29,27,42,25,19
1139,56,21324,8,26,58,3,22
1140,44,111267,5,5,12,17,24
1141,26,55909,29,29,3,54,45
1142,32,109339,47,5,18,5,12
1143,32,39870,68,11,40,34,30
1144,43,54578,76,28,21,21,38
1145,59,92124,45,6,15,42,31
1146,30,46790,2,7,97,14,36
1147,49,45289,27,24,99,21,19
1148,56,75129,95,14,26,59,48
1149,49,113714,36,24,8,36,45
1150,21,114246,36,11,100,51,36
1151,47,35485,26,30,94,41,30
1152,54,64482,43,13,87,11,49
1153,40,106188,27,2,42,46,33
1154,56,24748,69,25,44,48,18
1155,62,106769,20,7,14,41,49
1156,32,29435,11,20,78,37,28
1157,60,23709,74,4,2,17,47
1158,46,50355,38,27,37,44,11
1159,53,75771,6,8,69,34,45
1160,30,77799,72,20,38,29,33
1161,49,33116,23,29,41,23,17
1162,24,45470,47,22,62,41,6
1163,39,62344,90,21,60,29,4
1164,45,62918,46,19,14,13,20
1165,19,72224,12,13,89,5,48
1166,59,59298,90,14,84,2,47
1167,62,100219,13,10,2,15,27
1168,23,81629,62,11,70,6,15
1169,45,86040,82,2,17,51,6
1170,45,119518,89,25,89,13,47
1171,61,119835,97,26,28,8,14
1172,61,48016,60,9,66,14,11
1173,37,43960,43,17,35,20,39
1174,47,53591,76,26,5,34,9
1175,28,102848,100,3,65,1,26
1176,45,87641,68,24,40,26,16
1177,42,56395,5,6,76,1,5
1178,56,42700,37,5,56,34,10
1179,50,54620,72,5,36,17,50
1180,18,40559,92,22,45,13,3
1181,44,113045,31,15,23,19,13
1182,30,113396,9,23,47,17,43
1183,58,81642,51,17,31,9,49
1184,20,96539,29,9,11,24,30
1185,56,41732,78,3,10,1,45
1186,23,111362,40,20,67,24,6
1187,25,50354,41,26,14,60,17
1188,44,33843,86,17,80,53,45
1189,26,91726,11,29,74,32,19
1190,54,37640,23,27,93,35,42
1191,50,72528,1,10,10,30,35
1192,59,58413,46,3,76,13,46
1193,61,72638,21,18,94,0,26
1194,41,72736,90,18,1,45,5
1195,32,88866,36,30,5,15,29
1196,49,39087,54,17,20,53,37
1197,49,61430,87,24,8,45,20
1198,41,44504,57,3,43,60,49
1199,58,27114,1,3,76,51,21
1200,29,98859,63,6,1,2,10
1201,56,119657,54,13,57,34,5
1202,19,30975,55,24,64,40,36
1203,20,31023,40,29,84,5,6
1204,54,41447,15,15,28,24,26
1205,34,110469,21,25,37,12,4
1206,19,43959,47,9,47,52,39
1207,19,86203,73,4,76,33,39
1208,45,49703,53,14,37,7,50
1209,40,29337,9,5,49,20,35
1210,54,66427,74,2,44,33,1
1211,49,81529,52,11,56,3,24
1212,50,104665,57,9,28,24,36
1213,18,51921,26,24,79,14,6
1214,36,53307,41,3,6,3,41
1215,19,47355,35,27,61,44,46
1216,61,24835,63,28,20,59,44
1217,43,40159,25,29,78,11,31
1218,49,67605,90,9,2,31,20
1219,23,58088,75,3,73,31,24
1220,49,98752,38,25,37,27,25
1221,21,75284,2,2,20,12,36
1222,28,77043,7,12,26,30,21
1223,34,55547,82,10,29,13,30
1224,55,117007,91,9,1,19,24
1225,41,102844,34,15,35,17,44
1226,22,47532,91,8,70,28,42
1227,51,54349,17,25,59,59,30
1228,23,65445,43,5,69,5,22
1229,39,25713,59,11,33,31,28
1230,28,76178,51,27,51,28,7
1231,33,69407,54,2,78,42,35
1232,50,90340,24,24,12,1,28
1233,26,70990,25,28,20,59,14
1234,23,95672,71,15,53,22,10
1235,33,85545,52,6,88,18,16
1236,46,104791,70,8,43,30,16
1237,20,78141,88,27,98,50,31
1238,37,43793,33,5,89,4,42
1239,53,76570,49,16,50,18,25
1240,36,115084,29,26,29,33,13
1241,43,57892,63,18,57,9,6
1242,20,21015,22,6,39,24,44
1243,36,81813,26,5,95,1,9
1244,37,47712,28,28,56,10,45
1245,49,28415,85,16,43,49,36
1246,24,82292,49,13,50,60,43
1247,58,43833,71,28,23,30,20
1248,50,24158,81,5,44,55,18
1249,57,82680,84,13,38,14,43
1250,56,40309,49,17,84,8,21
1251,35,26970,20,18,23,22,4
1252,57,92474,86,8,45,18,50
1253,18,106704,92,13,52,8,33
1254,28,66540,63,30,80,34,27
1255,45,40384,61,29,50,20,7
1256,42,38017,49,19,8,8,6
1257,40,95880,71,26,85,27,15
1258,48,28702,1,3,1,45,18
1259,47,20384,96,24,8,50,32
1260,59,20404,13,8,29,6,11
1261,52,60943,94,2,96,15,20
1262,24,67926,87,8,5,15,24
1263,33,49189,51,27,86,59,15
1264,43,32763,56,13,47,32,48
1265,19,38384,83,13,34,3,7
1266,18,80100,62,1,65,3,21
1267,29,118142,32,6,55,38,42
1268,22,29860,30,24,90,39,26
1269,54,100642,29,19,43,16,44
1270,49,70612,49,16,74,36,14
1271,26,43574,45,8,30,38,37
1272,58,43524,93,28,82,59,21
1273,52,89172,30,1,17,51,18
1274,36,30916,16,27,26,28,5
1275,33,24809,40,27,8,51,3
1276,20,52201,19,16,47,35,23
1277,37,73330,18,9,76,59,26
1278,41,33456,1,13,91,37,37
1279,50,76397,78,11,72,38,24
1280,41,58765,47,13,89,49,49
1281,28,54816,66,25,46,36,19
1282,25,65106,92,21,68,51,25
1283,53,73932,94,10,33,60,21
1284,55,37100,38,4,1,34,12
1285,57,77091,51,27,19,6,41
1286,37,41949,63,6,31,26,33
1287,52,90080,4,28,80,27,50
1288,42,57744,1,7,14,21,4
1289,52,65543,8,5,53,13,42
1290,42,112193,29,11,48,6,7
1291,46,56187,55,13,69,36,22
1292,35,27239,3,26,90,60,33
1293,63,34489,32,25,62,21,17
1294,35,78017,10,19,92,4,24
1295,19,81877,74,23,66,54,34
1296,52,63125,83,10,64,1,28
1297,33,69922,34,10,70,26,43
1298,58,114074,97,11,63,20,41
1299,53,52049,87,21,73,53,39
1300,50,57131,55,30,33,37,22
1301,21,62944,92,7,41,14,49
1302,50,93963,32,18,89,20,17
1303,31,44285,50,4,48,9,34
1304,38,57626,7,2,13,22,6
1305,37,62808,93,14,73,57,46
1306,25,108464,8,13,77,55,6
1307,24,73871,65,29,31,38,34
1308,20,39198,57,12,75,4,1
1309,34,39758,67,7,68,0,10
1310,50,35254,88,2,98,12,21
1311,29,64238,87,13,4,20,5
1312,39,21252,59,14,19,25,2
1313,39,59764,72,27,70,49,22
1314,63,97709,54,17,98,44,48
1315,47,57441,67,9,82,20,2
1316,55,112234,51,17,13,52,10
1317,55,73682,97,8,23,17,34
1318,62,79494,92,2,83,36,16
1319,25,101317,8,28,75,44,48
1320,44,85215,34,24,1,31,39
1321,44,98587,35,13,88,35,22
1322,51,26949,96,3,54,16,12
1323,38,75393,88,16,71,34,24
1324,47,93553,78,6,89,48,47
1325,50,26941,32,19,85,59,40
1326,45,45934,46,30,15,10,38
1327,64,43386,16,7,65,20,10
1328,50,81886,68,10,76,51,35
1329,22,95745,37,9,71,54,49
1330,36,103251,54,2,15,52,32
1331,21,114456,85,28,21,25,7
1332,52,73413,14,28,19,3,21
1333,34,76800,95,15,60,33,20
1334,61,117239,55,30,93,51,26
1335,45,62318,48,5,89,47,4
1336,47,90173,82,29,33,59,46
1337,46,90390,7,22,49,17,22
1338,63,72329,74,4,96,39,15
1339,23,63088,7,20,35,34,40
1340,52,59811,33,4,44,40,21
1341,58,75479,23,18,90,28,15
1342,54,105392,85,4,11,51,22
1343,41,107369,19,27,99,28,28
1344,46,39963,19,17,72,37,14
1345,63,75123,36,12,78,41,27
1346,48,112705,29,22,74,20,41
1347,52,93477,60,17,66,41,40
1348,50,34388,82,10,46,12,28
1349,38,25569,2,22,9,48,26
1350,49,89836,1,1,3,40,49
1351,40,56586,47,22,85,16,2
1352,50,32015,69,26,26,55,25
1353,20,65002,20,24,72,8,3
1354,35,26254,11,27,48,40,8
1355,42,37144,2,18,66,0,44
1356,59,44214,67,18,70,1,33
1357,48,100719,87,14,28,59,42
1358,20,91774,12,15,93,47,35
1359,57,26090,20,29,26,28,6
1360,63,31637,5,12,25,32,39
1361,41,42415,37,4,12,9,23
1362,49,44071,38,27,5,49,25
1363,64,78243,94,3,98,57,50
1364,39,61240,9,20,48,59,43
1365,40,103807,98,29,37,39,19
1366,19,53434,53,12,79,20,5
1367,44,89724,44,7,44,27,11
1368,59,95697,99,29,100,10,12
1369,19,48732,86,11,15,54,10
1370,43,31314,24,1,43,33,8
1371,34,43954,81,6,48,7,24
1372,57,77108,74,15,87,58,28
1373,50,107044,30,15,70,21,41
1374,26,107505,59,19,46,7,36
1375,60,56668,87,11,43,48,37
1376,56,43061,96,26,21,14,21
1377,46,99252,81,23,23,16,8
1378,59,59749,81,26,80,59,9
1379,43,36907,14,2,47,22,47
1380,52,38777,9,14,15,23,15
1381,42,113229,40,2,25,44,48
1382,41,71745,66,29,36,18,46
1383,30,111865,25,4,75,4,40
1384,24,101818,73,17,51,31,18
1385,53,43624,22,3,15,43,42
1386,62,43321,4,13,68,0,20
1387,37,30488,26,9,21,22,6
1388,18,42574,58,7,13,36,12
1389,25,25240,29,15,86,7,2
1390,63,63221,98,23,19,12,7
1391,33,30478,87,29,34,7,16
1392,31,75645,37,29,78,56,3
1393,29,39262,75,11,68,22,45
1394,40,72796,70,20,52,42,3
1395,32,24432,18,2,27,0,27
1396,45,115257,85,15,29,44,50
1397,51,84291,42,14,28,50,43
1398,19,99104,100,20,35,23,40
1399,49,79399,41,22,8,34,38
1400,40,99714,38,11,16,23,33
1401,39,70428,34,27,36,16,28
1402,42,107731,17,3,30,4,1
1403,39,20302,37,17,18,19,8
1404,39,102558,25,30,2,20,37
1405,59,20055,76,12,49,39,32
1406,23,28717,87,24,77,57,48
1407,32,48699,86,28,4,30,43
1408,60,93686,85,29,90,45,37
1409,54,87661,27,21,89,35,4
1410,50,64247,57,15,94,10,30
1411,25,36748,31,16,75,51,6
1412,61,24621,6,5,7,14,46
1413,61,35034,91,27,95,18,19
1414,22,25126,40,20,74,6,32
1415,56,25122,98,6,39,50,9
1416,21,38030,12,19,13,27,12
1417,23,102838,53,25,31,50,11
1418,62,104717,71,5,71,42,46
1419,49,75658,10,3,63,57,16
1420,47,58638,45,27,56,4,1
1421,64,87067,17,1,42,4,45
1422,52,108869,26,26,61,29,21
1423,57,54674,85,28,42,53,30
1424,33,55854,92,6,56,31,13
1425,30,66271,62,15,36,7,34
1426,59,93688,46,2,84,9,4
1427,47,58518,64,29,68,37,28
1428,36,30267,2,3,7,46,38
1429,34,110825,54,17,54,31,31
1430,36,21062,65,25,1,47,27
1431,45,70448,51,24,44,27,5
1432,43,115462,53,12,45,16,25
1433,54,26229,36,18,47,30,3
1434,43,76793,26,15,13,7,33
1435,40,67915,29,12,22,39,4
1436,26,24632,21,16,21,24,25
1437,29,23596,11,27,86,8,20
1438,18,26168,40,8,92,1,34
1439,18,27561,11,28,9,14,26
1440,64,93794,36,14,26,49,5
1441,51,102152,59,25,9,2,35
1442,49,46734,39,17,15,48,28
1443,42,26371,99,29,10,35,29
1444,57,46069,54,21,88,3,9
1445,62,99905,98,8,42,13,38
1446,18,32910,55,15,72,40,50
1447,33,93479,24,27,24,40,6
1448,56,97735,22,14,80,24,19
1449,22,101264,69,18,49,57,44
1450,39,43275,56,20,26,54,11
1451,46,92274,33,7,91,49,2
1452,20,101449,36,3,37,9,47
1453,29,80004,20,29,68,20,44
1454,43,82981,83,12,50,35,44
1455,33,104659,99,21,24,11,9
1456,54,74553,81,24,19,26,21
1457,39,68447,62,28,100,39,24
1458,46,54529,98,26,60,1,34
1459,31,95703,73,3,39,53,22
1460,45,96090,26,20,74,12,3
1461,22,37260,66,14,89,52,12
1462,64,23812,73,15,18,31,28
1463,47,48024,73,25,19,30,30
1464,63,78656,40,30,36,15,26
1465,22,47285,17,14,74,31,48
1466,29,112436,1,7,97,31,21
1467,33,21605,89,17,55,59,28
1468,43,91158,61,30,69,33,26
1469,43,92303,43,12,47,10,33
1470,38,47139,42,20,49,9,21
1471,56,97149,25,4,99,14,35
1472,53,76138,39,9,98,16,34
1473,50,96125,35,6,33,39,41
1474,47,33918,3,16,21,17,47
1475,54,105655,44,25,81,54,18
1476,40,47446,51,28,22,8,11
1477,27,33046,94,22,48,24,23
1478,22,44818,98,22,37,39,48
1479,53,24324,12,21,15,58,22
1480,51,96323,19,21,35,13,17
1481,48,29111,44,2,92,59,5
1482,27,58110,59,24,71,57,44
1483,36,36389,49,8,32,24,11
1484,49,61427,61,11,11,49,30
1485,18,99579,17,13,10,21,15
1486,22,48746,74,17,73,51,27
1487,62,107886,57,8,78,29,35
1488,21,20117,55,21,77,19,33
1489,33,104471,47,18,57,20,20
1490,41,33234,12,30,25,43,16
1491,33,73441,62,18,2,31,34
1492,19,20846,80,14,64,50,2
1493,45,30954,88,15,35,45,35
1494,49,99239,83,6,7,48,40
1495,44,66514,8,11,85,55,28
1496,37,108236,95,13,18,20,47
1497,41,117579,21,25,67,34,39
1498,29,26469,81,1,42,57,6
1499,52,50105,87,28,39,31,9
1500,50,62101,80,6,41,29,20
